case,t_hours,T,sigma,f1
C up-down-up,158.0000,296.9735,-3.788182e+04,3.39232678
C up-down-up,160.0000,297.2676,-4.158247e+04,3.37346066
C up-down-up,162.0000,297.5618,-4.520216e+04,3.36415987
C up-down-up,164.0000,297.8559,-4.875168e+04,3.34412548
C up-down-up,166.0000,298.1500,-5.223964e+04,3.32439110
C up-down-up,168.0000,298.4441,-5.567293e+04,3.31461945
C up-down-up,170.0000,298.7382,-5.905714e+04,3.29524021
C up-down-up,172.0000,299.0324,-6.239681e+04,3.27525482
C up-down-up,174.0000,299.3265,-6.569565e+04,3.26493296
C up-down-up,176.0000,299.6206,-6.895675e+04,3.24441577
C up-down-up,178.0000,299.9147,-7.218270e+04,3.23421422
C up-down-up,180.0000,300.2088,-7.537568e+04,3.21391204
C up-down-up,182.0000,300.5029,-7.853755e+04,3.20380693
C up-down-up,184.0000,300.7971,-8.166994e+04,3.18367893
C up-down-up,186.0000,301.0912,-8.477425e+04,3.17365266
C up-down-up,188.0000,301.3853,-8.785174e+04,3.15366804
C up-down-up,190.0000,301.6794,-9.090351e+04,3.14294159
C up-down-up,192.0000,301.9735,-9.393058e+04,3.12155384
C up-down-up,194.0000,302.2676,-9.693386e+04,3.11088978
C up-down-up,196.0000,302.5618,-9.991420e+04,3.08961502
C up-down-up,198.0000,302.8559,-1.028724e+05,3.07900198
C up-down-up,200.0000,303.1500,-1.058091e+05,3.06840369
